id,Student_id,Stream,Course_year,Campus
,28150011,ING2,2012/2013,CERGY
,28150011,ING2,2012/2013,CERGY
,12964526,ING2,2012/2013,CERGY
,12964526,ING2,2012/2013,CERGY
,70327762,ING2,2012/2013,CERGY
,13050443,ING2,2012/2013,CERGY
,68136584,ING2,2012/2013,CERGY
,99968304,ING2,2012/2013,CERGY
,99968304,ING2,2012/2013,CERGY
,50635736,ING2,2012/2013,CERGY
,50635736,ING2,2012/2013,CERGY
,76000061,ING2,2012/2013,CERGY
,65982873,ING2,2012/2013,CERGY
,65982873,ING2,2012/2013,CERGY
,57446777,MAIN,2012/2013,CERGY
,57446777,ING1,2012/2013,CERGY
,5168483,ING2,2012/2013,CERGY
,5168483,ING2,2012/2013,CERGY
,67593852,ING2,2012/2013,CERGY
,67593852,ING2,2012/2013,CERGY
,91333934,ING2,2012/2013,CERGY
,1573527,ING3,2012/2013,CERGY
,1573527,ING2,2012/2013,CERGY
,68030335,ING2,2012/2013,CERGY
,68030335,ING2,2012/2013,CERGY
,64631886,ING2,2012/2013,CERGY
,41180769,ING2,2012/2013,CERGY
,41180769,ING2,2012/2013,CERGY
,22424085,ING2,2012/2013,CERGY
,22424085,ING2,2012/2013,CERGY
,90202423,ING3,2012/2013,CERGY
,90202423,ING2,2012/2013,CERGY
,3905885,ING3,2012/2013,CERGY
,3905885,ING2,2012/2013,CERGY
,12792454,ING3,2012/2013,CERGY
,12792454,ING2,2012/2013,CERGY
,21076334,ING3,2012/2013,CERGY
,21076334,ING2,2012/2013,CERGY
,22140823,ING2,2012/2013,CERGY
,10758505,ING2,2012/2013,CERGY
,10758505,ING2,2012/2013,CERGY
,29617699,ING2,2012/2013,CERGY
,17392183,ING2,2012/2013,CERGY
,17392183,ING2,2012/2013,CERGY
,39230323,ING3,2012/2013,CERGY
,39230323,ING2,2012/2013,CERGY
,98682190,MAAP,2012/2013,CERGY
,98682190,ING1,2012/2013,CERGY
,39354324,ING2,2012/2013,CERGY
,39354324,ING2,2012/2013,CERGY
,70244832,ING2,2012/2013,CERGY
,70244832,ING2,2012/2013,CERGY
,86352973,GL,2012/2013,CERGY
,86352973,ING3,2012/2013,CERGY
,30089914,IFI,2012/2013,CERGY
,30089914,ING3,2012/2013,CERGY
,99947691,IERP,2012/2013,CERGY
,99947691,ING2,2012/2013,CERGY
,99947691,ING3,2012/2013,CERGY
,84743589,ING3,2012/2013,CERGY
